,stationid,tempc,feelsc,windspeed_kph,winddir_deg,pressure_mb,precip_mm,humidity,visibility_km,cloud,weather_code,extra_weather_text,uvindex,isday,updatedon,lat,lon
5815,11429892,-22.3,-30.6,11.5,307.5,1032.3,0.0,90.8,10.0,32.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,49.7299995422363,117.269996643066
5816,11430225,-0.7,-5.98,15.1,220.0,1017.9,0.0,54.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,40.7900009155273,-99.7799987792969
5817,11430558,26.5,29.2,6.8,282.3,1012.0,2.3,78.2,10.0,79.0,1240.0,Light rain shower,6.0,1.0,2022-02-05 15:00,-21.2600002288818,-48.5
5818,11430891,25,28.51,15.1,10.0,1013.9,0.0,79.0,10.0,75.0,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,-23.3600006103516,-46.8800010681152
5819,11431224,-15.9,-26.0,23.4,184.9,1008.6,0.0,86.2,10.0,37.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,62.0400009155273,-142.679992675781
5820,11431557,2.2,0.21,0.0,0.0,1027.1,0.0,89.0,14.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,39.1399993896484,-121.069999694824
5821,11431890,1,-0.31,9.0,260.0,1034.5,0.0,59.0,16.0,0.0,1000.0,Sunny,2.0,1.0,2022-02-05 15:00,30.0200004577637,-100.209999084473
5822,11432223,24,24.08,6.8,130.0,1014.9,0.0,65.0,6.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,12.6599998474121,77.2099990844727
5823,11432556,18.2,18.2,3.6,306.8,1011.3,6.0,95.4,8.0,73.9,1186.0,Moderate rain at times,1.0,0.0,2022-02-05 15:00,-7.0,107.639999389648
5824,11432889,-18.9,-24.5,7.2,251.5,1035.4,0.0,96.1,2.0,56.1,1030.0,Mist,1.0,0.0,2022-02-05 15:00,50.2799987792969,113.279998779297
