,stationid,tempc,feelsc,windspeed_kph,winddir_deg,pressure_mb,precip_mm,humidity,visibility_km,cloud,weather_code,extra_weather_text,uvindex,isday,updatedon,lat,lon
0,2331,19,19.0,22.0,200.0,1008.1,0.1,83.0,10.0,100.0,1009.0,Overcast,4.0,1.0,2022-02-05 15:00,-34.8199996948242,-58.5299987792969
1,2664,20,20.0,22.0,80.0,1020.0,0.0,53.0,10.0,0.0,1000.0,Sunny,6.0,1.0,2022-02-05 15:00,-45.7799987792969,-67.5
2,2997,22,24.34,24.1,160.0,1016.9,0.0,57.0,10.0,75.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,-31.3199996948242,-64.2200012207031
3,3330,23,25.01,19.1,250.0,1007.1,0.0,69.0,10.0,50.0,1003.0,Partly cloudy,4.0,1.0,2022-02-05 15:00,-34.9700012207031,-57.9000015258789
4,3996,19,19.0,29.9,190.0,1008.1,0.8,83.0,9.0,100.0,1183.0,Light rain,4.0,1.0,2022-02-05 15:00,-37.9300003051758,-57.5800018310547
5,4329,20,20.0,6.1,290.0,1023.0,0.0,49.0,10.0,25.0,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,-38.9500007629395,-68.129997253418
6,4662,35.7,35.9,24.1,199.5,1010.0,0.0,27.9,10.0,12.9,1000.0,Sunny,9.0,1.0,2022-02-05 15:00,-29.1800003051758,-59.6699981689453
7,4995,23,24.55,33.1,220.0,1011.9,0.0,65.0,10.0,75.0,1003.0,Partly cloudy,7.0,1.0,2022-02-05 15:00,-32.9199981689453,-60.7799987792969
8,5661,26,26.7,6.8,190.0,1015.9,0.0,61.0,10.0,25.0,1003.0,Partly cloudy,8.0,1.0,2022-02-05 15:00,-26.8500003814697,-65.0999984741211
9,5994,6.8,6.8,2.2,46.7,1016.5,0.0,34.9,10.0,36.3,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,35.0200004577637,71.3499984741211
10,6327,16.6,16.6,43.6,180.0,1000.7,0.0,22.3,10.0,4.8,1000.0,Clear,1.0,0.0,2022-02-05 15:00,34.2200012207031,62.2200012207031
11,6660,-1.5,-1.5,1.1,278.0,1019.0,1.6,71.8,5.0,55.4,1222.0,Patchy heavy snow,1.0,0.0,2022-02-05 15:00,34.5299987792969,69.1800003051758
12,6993,14.4,13.6,12.6,53.8,1007.9,0.0,27.7,10.0,43.5,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,31.6200008392334,65.7200012207031
13,7326,25.5,27.0,18.7,121.1,1011.7,0.1,67.4,10.0,75.0,1063.0,Patchy rain possible,6.0,1.0,2022-02-05 15:00,-7.96999979019165,-14.3999996185303
14,7659,3,-3.66,37.1,330.0,1015.9,0.4,93.0,10.0,100.0,1183.0,Light rain,1.0,0.0,2022-02-05 15:00,40.4599990844727,50.0699996948242
15,7992,16,16.0,16.9,30.0,1022.0,0.0,68.0,10.0,50.0,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,36.7200012207031,3.25
16,8325,15,14.43,16.9,30.0,1022.0,0.0,51.0,10.0,75.0,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,36.2799987792969,6.61999988555908
17,8658,15,14.7,9.4,334.3,1020.4,0.0,48.1,10.0,9.7,1000.0,Sunny,5.0,1.0,2022-02-05 15:00,36.2700004577637,2.75
18,8991,18,18.0,25.9,260.0,1021.0,0.0,60.0,7.0,50.0,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,35.6300010681152,-0.600000023841858
19,10323,29,32.3,20.2,240.0,1008.1,0.0,62.0,10.0,25.0,1003.0,Partly cloudy,8.0,1.0,2022-02-05 15:00,-8.85000038146973,13.2399997711182
20,10656,25,26.68,16.9,90.0,1015.9,0.7,69.0,10.0,75.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,17.1200008392334,-61.7799987792969
21,10989,25,26.84,29.9,60.0,1015.9,5.0,83.0,7.0,0.0,1000.0,Sunny,5.0,1.0,2022-02-05 15:00,17.2999992370605,-62.6800003051758
22,11322,23,24.63,24.1,90.0,1014.9,0.0,38.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-34.9199981689453,138.520004272461
23,11655,19.8,19.8,11.5,66.2,1004.4,0.0,76.8,10.0,2.2,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-34.9300003051758,117.800003051758
24,11988,18,18.0,11.2,80.0,1022.0,0.0,73.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-36.0800018310547,146.949996948242
25,12321,17,17.0,0.0,0.0,1011.9,0.0,83.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-23.7900009155273,133.910003662109
26,12654,14.4,14.1,8.3,143.6,1020.7,0.0,66.9,10.0,9.8,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-37.2799987792969,142.979995727539
27,12987,10.4,8.5,14.4,113.1,1017.0,0.0,89.2,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-30.5300006866455,151.669998168945
28,14652,11.4,9.6,15.5,123.1,1020.3,0.0,80.7,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-33.4300003051758,149.570007324219
29,14985,13.8,13.9,5.8,210.4,1024.5,0.0,84.8,10.0,71.8,1006.0,Cloudy,1.0,0.0,2022-02-05 15:00,-36.6699981689453,149.820007324219
30,16650,24.5,26.2,28.1,139.6,1006.6,0.1,73.8,10.0,82.0,1063.0,Patchy rain possible,1.0,0.0,2022-02-05 15:00,-20.0200004577637,148.199996948242
31,16983,18,18.0,13.0,190.0,1012.9,0.7,83.0,10.0,50.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-27.3700008392334,153.100006103516
32,18315,24,26.25,0.0,0.0,1005.1,2.1,94.0,10.0,75.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-16.8700008392334,145.75
33,18648,13,11.79,9.0,140.0,1024.0,0.0,82.0,10.0,75.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-35.2999992370605,149.190002441406
34,18981,28.4,32.9,18.4,353.2,1006.1,0.0,78.2,10.0,43.9,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-16.3999996185303,122.930000305176
35,19314,27.4,30.0,14.8,206.5,1004.0,0.0,71.5,10.0,3.7,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-24.8700008392334,113.669998168945
36,19647,20.8,20.8,11.9,93.3,1012.5,0.0,53.0,10.0,2.4,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-32.1199989318848,133.699996948242
37,20979,19.8,19.8,33.8,88.9,1016.9,0.0,55.4,10.0,11.2,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-31.4799995422363,145.830001831055
38,21312,18,18.0,24.1,240.0,1014.9,0.5,83.0,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-30.3199996948242,153.119995117188
39,21978,17.1,17.1,16.9,104.7,1019.5,0.0,55.4,10.0,5.7,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-33.0699996948242,147.220001220703
40,22311,25.5,24.8,11.2,90.9,1011.4,0.0,26.6,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-29.0,134.75
41,23310,26,28.92,6.1,90.0,1008.1,0.0,94.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-12.3999996185303,130.869995117188
42,24309,15,14.04,13.0,110.0,1019.0,0.0,77.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-32.2000007629395,148.570007324219
43,24642,18,18.0,12.6,96.5,1020.1,0.0,50.0,10.0,11.6,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-36.1500015258789,144.75
44,24975,19.2,19.2,29.9,46.5,1009.5,0.0,67.2,10.0,2.6,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-33.8199996948242,121.879997253418
45,25308,4.6,3.2,6.1,142.3,1024.9,0.0,92.8,10.0,27.9,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-36.8499984741211,147.270004272461
46,25974,22,24.58,0.0,0.0,1004.1,0.0,46.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-32.0499992370605,115.769996643066
47,26307,18,18.0,24.1,110.0,1021.0,0.0,77.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-38.0800018310547,144.330001831055
48,26640,21,21.0,6.1,20.0,1004.1,0.0,88.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-28.7800006866455,114.699996948242
49,26973,21.7,21.7,27.4,155.4,1009.3,0.0,67.5,10.0,75.1,1006.0,Cloudy,1.0,0.0,2022-02-05 15:00,-23.8500003814697,151.270004272461
50,27306,18,18.0,15.1,200.0,1011.9,0.3,94.0,10.0,75.0,1183.0,Light rain,1.0,0.0,2022-02-05 15:00,-27.9500007629395,153.429992675781
51,27972,10.5,8.4,15.8,129.1,1022.6,0.0,94.6,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-34.7200012207031,149.729995727539
52,28638,18,18.0,22.0,77.8,1020.3,0.0,55.0,10.0,10.1,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-34.3199996948242,146.070007324219
53,29637,15,15.9,6.8,70.0,1029.1,0.0,72.0,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-42.8800010681152,147.330001831055
54,29970,13.9,12.7,15.5,141.3,1015.7,0.0,70.0,10.0,1.8,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-29.7800006866455,151.119995117188
55,30303,20,20.0,16.9,190.0,1011.9,0.0,78.0,10.0,0.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-27.6200008392334,152.75
56,30636,30,28.0,19.1,50.0,1010.2,0.0,18.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-30.7700004577637,121.449996948242
57,31302,17,17.0,13.0,210.0,1020.0,0.1,94.0,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-33.7200012207031,150.279998779297
58,32967,15,15.34,19.1,160.0,1028.1,0.0,72.0,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-41.4199981689453,147.119995117188
59,33633,16.6,16.6,4.7,192.6,1014.1,0.2,92.1,10.0,100.0,1240.0,Light rain shower,1.0,0.0,2022-02-05 15:00,-28.7999992370605,153.25
60,34632,26,27.61,28.1,150.0,1007.1,0.6,70.0,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-21.1200008392334,149.220001220703
61,35631,22,24.55,0.0,0.0,1004.1,0.0,69.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-32.5200004577637,115.730003356934
62,36297,17,17.0,13.0,210.0,1020.0,0.2,94.0,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-33.9300003051758,151.199996948242
63,36630,27.4,25.5,20.9,64.5,1006.8,0.0,12.1,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-26.6000003814697,118.529998779297
64,36963,18,18.0,24.1,110.0,1021.0,0.0,77.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-37.6599998474121,144.830001831055
65,37296,15.7,15.7,9.4,198.3,1024.5,0.0,74.7,10.0,75.5,1006.0,Cloudy,1.0,0.0,2022-02-05 15:00,-36.9000015258789,149.899993896484
66,37962,27,26.4,27.0,103.4,1010.4,0.0,33.0,10.0,7.3,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-28.1200008392334,140.220001220703
67,38295,18.5,18.5,18.4,123.4,1015.5,0.0,55.8,10.0,4.5,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-29.4699993133545,149.850006103516
68,38628,6.6,5.4,6.5,119.6,1024.1,0.0,92.6,10.0,27.8,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-37.1500015258789,146.429992675781
69,40626,14.3,12.9,18.7,119.9,1019.3,0.0,71.8,10.0,58.2,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-32.5800018310547,149.580001831055
70,40959,18.2,18.2,12.2,178.5,1012.0,0.3,82.0,10.0,100.0,1240.0,Light rain shower,1.0,0.0,2022-02-05 15:00,-26.6299991607666,152.929992675781
71,41625,20,20.0,31.0,130.0,1017.9,0.1,68.0,10.0,75.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-32.9199981689453,151.779998779297
72,41958,19.9,19.9,10.8,93.9,1019.2,0.0,38.0,10.0,22.2,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-36.3499984741211,141.649993896484
73,43623,11.9,9.6,22.3,108.8,1020.1,0.0,77.4,10.0,4.8,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-33.3800010681152,149.119995117188
74,43956,10.9,10.4,6.5,28.3,1025.4,0.0,92.9,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-37.6800003051758,148.449996948242
75,44289,16,16.0,19.1,105.4,1019.6,0.0,60.8,10.0,2.4,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-33.1300010681152,148.169998168945
76,44622,4.5,3.4,5.4,106.8,1025.6,0.0,93.5,10.0,44.8,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-36.4000015258789,148.399993896484
77,44955,22,23.54,0.0,0.0,1004.1,0.0,46.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-31.9300003051758,115.949996948242
78,45288,25,24.7,16.9,70.5,1013.2,0.0,30.3,10.0,29.6,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-32.5299987792969,137.770004272461
79,45621,29.6,34.8,24.5,34.9,1004.6,0.0,73.4,10.0,18.9,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-20.3700008392334,118.620002746582
80,45954,18.7,18.7,25.9,111.2,1016.1,0.0,80.0,10.0,10.3,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-34.7200012207031,135.869995117188
81,46287,19.9,19.9,22.0,161.0,1016.7,0.1,71.6,10.0,87.0,1063.0,Patchy rain possible,1.0,0.0,2022-02-05 15:00,-31.4300003051758,152.919998168945
82,46953,15.8,15.8,16.6,93.5,1021.2,0.0,80.3,10.0,6.8,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-38.3199996948242,141.470001220703
83,47286,12.5,12.8,4.3,46.2,1027.4,0.0,88.5,10.0,56.2,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-42.0800018310547,145.529998779297
84,47619,22.2,23.7,16.6,87.2,1016.6,0.0,34.6,10.0,6.7,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-34.1699981689453,140.75
85,47952,21,21.0,34.9,130.0,1020.0,0.2,64.0,10.0,75.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-33.5999984741211,150.779998779297
86,49284,17,17.0,13.0,210.0,1020.0,0.0,94.0,10.0,100.0,1009.0,Overcast,1.0,0.0,2022-02-05 15:00,-33.9500007629395,151.179992675781
87,50949,25,27.25,11.2,140.0,1006.1,1.2,79.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-19.25,146.75
88,51948,16,16.0,9.0,150.0,1022.0,0.0,68.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-35.1500015258789,147.449996948242
89,52281,19.2,19.2,29.9,110.4,1015.9,0.0,58.2,10.0,5.6,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-30.0200004577637,148.119995117188
90,52947,15.3,15.3,12.2,92.9,1021.6,0.0,79.3,10.0,11.8,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-38.2799987792969,142.429992675781
91,53280,14.7,13.5,16.9,128.7,1014.5,0.0,83.3,10.0,70.7,1006.0,Cloudy,1.0,0.0,2022-02-05 15:00,-28.2299995422363,152.020004272461
92,53613,22,24.04,13.0,160.0,1012.9,0.0,73.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-33.0200004577637,137.520004272461
93,53946,21,21.0,34.9,130.0,1020.0,0.2,64.0,10.0,75.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-34.4000015258789,150.880004882813
94,54279,16,16.0,26.6,91.6,1023.5,0.0,79.2,10.0,19.7,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-38.5999984741211,145.600006103516
95,54612,23,23.74,15.1,90.0,1012.9,0.0,36.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-31.1299991607666,136.820007324219
96,55278,15,14.24,0.0,0.0,1021.0,0.0,72.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-36.0200004577637,145.979995727539
97,55611,22,23.49,11.2,140.0,1011.9,0.0,43.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,-25.1800003051758,130.970001220703
98,55944,0,-3.61,13.0,290.0,1013.9,0.0,34.0,10.0,25.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,40.1300010681152,44.4700012207031
99,56277,15,13.29,0.0,72.3,1031.2,0.4,94.0,6.0,75.0,1183.0,Light rain,3.0,1.0,2022-02-05 15:00,38.7700004577637,-27.1000003814697
100,56943,25,26.37,0.0,193.9,1022.0,0.0,65.0,10.0,50.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,26.5499992370605,-78.6999969482422
101,57276,25,26.2,11.2,20.0,1022.4,0.0,54.0,10.0,25.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,25.0499992370605,-77.4700012207031
102,57609,28.1,28.0,24.8,115.9,1009.4,0.0,40.5,10.0,44.0,1003.0,Partly cloudy,7.0,1.0,2022-02-05 15:00,-21.2199993133545,27.5
103,57942,30,33.1,0.0,67.1,1014.9,0.9,38.0,10.0,75.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,-24.6700000762939,25.9200000762939
104,58941,27,31.21,0.0,92.7,1008.1,0.0,94.0,10.0,25.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,4.94000005722046,114.930000305176
105,59274,19,19.0,19.1,240.0,1023.0,0.0,73.0,10.0,75.0,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,32.3699989318848,-64.6800003051758
106,59607,5,4.7,4.0,210.0,1020.0,0.2,75.0,6.0,75.0,1183.0,Light rain,1.0,1.0,2022-02-05 15:00,43.8699989318848,18.4300003051758
107,60273,23,25.22,0.0,0.0,1021.0,0.0,94.0,7.0,75.0,1183.0,Light rain,6.0,1.0,2022-02-05 15:00,17.5300006866455,-88.3000030517578
108,60606,26,28.76,15.1,180.0,1010.2,1.0,70.0,9.0,100.0,1009.0,Overcast,5.0,1.0,2022-02-05 15:00,-3.3199999332428,29.3299999237061
109,60939,31,33.12,15.1,180.0,1008.1,0.0,71.0,8.0,25.0,1003.0,Partly cloudy,8.0,1.0,2022-02-05 15:00,6.48999977111816,2.61999988555908
110,61272,21.6,21.6,5.0,152.7,1009.9,0.0,45.2,10.0,1.3,1000.0,Clear,1.0,0.0,2022-02-05 15:00,21.9799995422363,96.0999984741211
111,61605,26,27.75,6.8,120.0,1011.9,0.2,70.0,7.0,50.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,16.9099998474121,96.129997253418
112,61938,18,18.0,33.1,340.0,1012.9,0.0,49.0,7.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,26.2700004577637,50.6500015258789
113,62271,12,12.01,0.0,235.7,1036.9,0.1,38.0,10.0,75.0,1003.0,Partly cloudy,3.0,1.0,2022-02-05 15:00,-16.5200004577637,-68.1800003051758
114,62604,18.4,18.4,11.2,36.4,1011.3,1.6,61.6,10.0,83.0,1273.0,Patchy light rain with thunder,4.0,1.0,2022-02-05 15:00,-19.0200004577637,-65.2699966430664
115,62937,28,30.51,31.0,100.0,1013.9,0.0,58.0,10.0,25.0,1003.0,Partly cloudy,7.0,1.0,2022-02-05 15:00,13.0699996948242,-59.4799995422363
116,63270,26.8,30.0,20.2,300.0,1008.5,0.3,94.0,10.0,75.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,-7.30000019073486,72.4000015258789
117,63603,-7.9,-12.0,7.9,278.6,1021.7,0.2,94.0,7.0,50.4,1216.0,Patchy moderate snow,1.0,0.0,2022-02-05 15:00,27.5100002288818,89.6699981689453
118,63936,6,3.36,20.2,240.0,1016.9,0.0,70.0,10.0,0.0,1000.0,Sunny,3.0,1.0,2022-02-05 15:00,42.4799995422363,27.4799995422363
119,64269,7,6.34,19.1,280.0,1017.9,0.0,57.0,10.0,75.0,1003.0,Partly cloudy,2.0,1.0,2022-02-05 15:00,42.6599998474121,23.3799991607666
120,64602,22,24.51,6.8,300.0,1012.9,0.0,73.0,4.0,75.0,1030.0,Mist,1.0,0.0,2022-02-05 15:00,22.2700004577637,91.8199996948242
121,64935,17.2,17.2,10.8,314.6,1014.2,0.0,54.0,10.0,12.8,1000.0,Clear,1.0,0.0,2022-02-05 15:00,23.7700004577637,90.3899993896484
122,65268,8,4.29,20.2,230.0,1017.9,0.0,66.0,10.0,100.0,1009.0,Overcast,2.0,1.0,2022-02-05 15:00,51.2000007629395,4.46999979019165
123,65601,6,1.52,25.9,230.0,1022.0,0.0,65.0,10.0,75.0,1003.0,Partly cloudy,3.0,1.0,2022-02-05 15:00,50.9000015258789,4.53000020980835
124,65934,9,4.37,31.0,230.0,1019.0,0.0,71.0,10.0,75.0,1003.0,Partly cloudy,3.0,1.0,2022-02-05 15:00,51.2000007629395,2.86999988555908
125,66267,-3.5,-9.7,20.5,167.6,1003.5,0.3,96.4,2.0,100.0,1225.0,Heavy snow,1.0,0.0,2022-02-05 15:00,54.2799987792969,30.9799995422363
126,66600,1,-5.26,31.0,290.0,1002.0,0.0,86.0,10.0,75.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,53.8699989318848,27.5400009155273
127,66933,30,34.23,19.1,60.0,1010.8,0.0,70.0,10.0,75.0,1003.0,Partly cloudy,8.0,1.0,2022-02-05 15:00,-1.45000004768372,-48.4700012207031
128,67599,28,30.27,6.8,70.0,1017.9,1.7,55.0,10.0,50.0,1009.0,Overcast,6.0,1.0,2022-02-05 15:00,-15.7799997329712,-47.9300003051758
129,67932,25,28.41,15.1,10.0,1013.9,4.7,79.0,10.0,75.0,1003.0,Partly cloudy,5.0,1.0,2022-02-05 15:00,-23.0,-47.1300010681152
130,68265,30,33.57,33.1,300.0,1013.9,0.0,66.0,10.0,50.0,1009.0,Overcast,7.0,1.0,2022-02-05 15:00,-20.4699993133545,-54.6800003051758
131,68598,24.7,27.0,7.9,345.9,1011.7,1.4,86.0,10.0,74.0,1240.0,Light rain shower,5.0,1.0,2022-02-05 15:00,-22.0300006866455,-42.3699989318848
132,68931,27,29.5,15.1,290.0,1012.9,0.0,70.0,10.0,75.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,-25.5200004577637,-49.1699981689453
133,69597,23,25.56,6.8,20.0,1009.1,24.9,100.0,10.0,100.0,1183.0,Light rain,5.0,1.0,2022-02-05 15:00,-25.5200004577637,-54.5800018310547
134,70596,26.2,28.0,13.0,276.9,1011.6,0.6,69.2,10.0,52.0,1240.0,Light rain shower,6.0,1.0,2022-02-05 15:00,-21.2299995422363,-45.0
135,70929,24,26.26,16.9,340.0,1011.9,1.5,94.0,9.0,50.0,1276.0,Moderate or heavy rain with thunder,6.0,1.0,2022-02-05 15:00,-23.3799991607666,-51.1800003051758
136,71262,28,30.88,4.0,250.0,1012.9,0.0,84.0,10.0,50.0,1003.0,Partly cloudy,7.0,1.0,2022-02-05 15:00,-3.15000009536743,-59.9799995422363
137,72594,31,37.43,15.1,260.0,1004.1,0.9,66.0,10.0,50.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,-30.0,-51.1800003051758
138,72927,31,34.3,13.0,90.0,1011.9,0.0,59.0,10.0,50.0,1003.0,Partly cloudy,8.0,1.0,2022-02-05 15:00,-8.05000019073486,-34.9199981689453
139,73260,33,40.74,11.2,330.0,1008.1,0.0,59.0,10.0,0.0,1000.0,Sunny,8.0,1.0,2022-02-05 15:00,-22.9200000762939,-43.1699981689453
140,73593,31,36.71,25.9,80.0,1011.9,1.1,63.0,10.0,50.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,-13.0200004577637,-38.5200004577637
141,73926,34,58.89,13.0,310.0,1007.1,2.1,53.0,10.0,0.0,1000.0,Sunny,5.0,1.0,2022-02-05 15:00,-23.5200004577637,-46.6300010681152
142,75258,31,37.56,16.9,30.0,1013.9,0.3,63.0,10.0,50.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,-20.3199996948242,-40.3300018310547
143,75591,34,31.99,6.1,190.0,1007.1,0.0,39.0,10.0,0.0,1000.0,Sunny,9.0,1.0,2022-02-05 15:00,4.40000009536743,18.5200004577637
144,75924,31,34.22,19.1,280.0,1009.1,0.3,59.0,8.0,50.0,1003.0,Partly cloudy,7.0,1.0,2022-02-05 15:00,-4.25,15.2600002288818
145,76257,20,20.0,20.2,210.0,1015.9,0.0,64.0,10.0,25.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,-23.4300003051758,-70.4300003051758
146,76590,21,21.0,13.0,220.0,1016.9,0.0,56.0,10.0,0.0,1000.0,Sunny,6.0,1.0,2022-02-05 15:00,-36.7700004577637,-73.0500030517578
147,76923,9,3.3,69.8,312.8,1000.0,0.7,86.3,2.0,100.0,1153.0,Light drizzle,2.0,1.0,2022-02-05 15:00,-56.5999984741211,-68.7200012207031
148,77589,14,13.05,19.1,180.0,1024.0,0.0,82.0,10.0,75.0,1003.0,Partly cloudy,6.0,1.0,2022-02-05 15:00,-41.4199981689453,-73.0800018310547
149,77922,14,11.6,24.1,300.0,1009.1,0.0,63.0,10.0,0.0,1000.0,Sunny,4.0,1.0,2022-02-05 15:00,-53.0,-70.8499984741211
150,78588,25,24.39,6.8,200.0,1014.9,0.0,41.0,10.0,0.0,1000.0,Sunny,8.0,1.0,2022-02-05 15:00,-33.3699989318848,-70.7799987792969
151,78921,20,20.0,15.1,310.0,1015.9,0.0,68.0,10.0,0.0,1000.0,Sunny,6.0,1.0,2022-02-05 15:00,-33.0499992370605,-71.5999984741211
152,79254,-10.4,-12.0,3.2,243.4,1028.5,0.0,71.4,10.0,31.5,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,41.1300010681152,122.980003356934
153,79587,1,0.06,19.1,300.0,1031.8,0.0,23.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,39.9300003051758,116.279998779297
154,79920,-14,-19.63,6.8,270.0,1022.0,0.0,51.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,43.9000015258789,125.220001220703
155,80253,6,5.64,6.8,180.0,1029.1,0.0,81.0,10.0,75.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,28.2299995422363,112.870002746582
156,80586,5,2.64,6.8,360.0,1022.0,0.4,93.0,3.8,75.0,1183.0,Light rain,1.0,0.0,2022-02-05 15:00,30.6700000762939,104.019996643066
157,80919,9,8.5,11.2,100.0,1021.0,0.0,50.0,10.0,50.0,1003.0,Partly cloudy,1.0,0.0,2022-02-05 15:00,29.5200004577637,106.480003356934
158,81252,0,-6.06,25.9,280.0,1029.1,0.0,47.0,10.0,0.0,1000.0,Clear,1.0,0.0,2022-02-05 15:00,38.9000015258789,121.629997253418
159,81918,7.4,6.6,5.8,344.9,1027.5,0.0,80.1,10.0,67.3,1006.0,Cloudy,1.0,0.0,2022-02-05 15:00,25.8500003814697,114.949996948242
