lat,lon,temp,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,wind_gust,probability,Power (W)
51.5,-7.5,283.82,1029,88,281.92,0.11,79,6.99,289,10.81,0.60214806,713968.80
51.5,-7.0,284.36,1028,86,282.11,0.1,79,8.77,294,14.21,0.49193972,1621751.79
51.5,-6.5,282.59,1028,88,280.71,0.11,79,9.59,286,14.51,0.6469421,1726650.31
51.5,-6.0,282.59,1028,90,281.03,0.11,82,9.92,282,14.21,0.4972588,1621751.79
51.5,-5.5,282.59,1027,91,281.2,0.12,100,9.86,286,15.51,0.6519109,2108810.46
51.5,-5.0,283.84,1027,92,282.59,0.11,100,10.85,289,17.41,0.5140454,2982623.71
51.5,-4.5,283.72,1026,89,281.98,0.11,99,11.61,292,17.61,0.4922597,3086599.07
51.5,-4.0,284.03,1024,87,281.95,0.09,92,3.13,322,8.05,0.5949726,294842.30
51.5,-3.5,283.7,881,91,282.29,0.06,90,4.47,281,5.81,0.60291266,110848.69
51.5,-3.0,284.99,1007,81,281.84,0.06,100,1.34,345,4.92,0.6822793,67312.77
51.5,-2.5,284.49,1023,87,282.41,0.05,100,3.58,287,6.71,0.4420096,170753.54
51.5,-2.0,284.46,1023,94,283.53,0.0,90,7.43,294,13.81,0.80274975,1488617.74
51.5,-1.5,284.7,1022,88,282.78,0.0,87,8.67,299,14.61,0.7880719,1762596.08
51.5,-1.0,285.62,1021,69,280.1,0.0,20,2.68,263,6.71,0.4894069,170753.54
51.5,-0.5,286.79,1020,67,280.78,0.0,75,3.58,279,8.94,0.70068187,403845.00
51.5,0.0,287.13,1019,64,280.44,0.0,40,8.23,280,18.33,0.6721774,3480883.98
51.5,0.5,287.0,1017,62,279.85,0.0,0,7.2,290,18.33,0.43914887,3480883.98
51.5,1.0,286.65,1018,75,282.31,0.0,92,12.21,287,17.51,0.43540928,3034314.49
51.5,1.5,285.72,1017,69,280.19,0.0,100,13.17,288,19.81,0.50055534,4393954.75
51.5,2.0,285.52,1017,76,281.41,0.0,84,13.68,291,21.01,0.6023835,5241798.36
52.0,-8.0,283.57,1028,82,280.63,0.08,100,8.13,301,14.31,0.58753526,1656231.55
52.0,-7.5,284.31,1028,100,284.31,0.09,100,7.68,291,11.11,0.4492314,775076.07
52.0,-7.0,284.55,1027,82,281.59,0.1,100,8.85,293,11.51,0.5616424,861842.93
52.0,-6.5,284.55,1027,86,282.29,0.09,100,8.84,292,13.31,0.2192078,1332712.03
52.0,-6.0,282.59,1027,88,280.71,0.09,100,10.02,288,14.81,0.64464706,1835977.39
52.0,-5.5,282.59,1026,89,280.87,0.09,100,10.06,287,15.11,0.592171,1949824.60
52.0,-5.0,284.13,1026,88,282.22,0.08,99,8.98,284,14.71,0.49126443,1799037.31
52.0,-4.5,283.81,1025,90,282.24,0.08,92,7.9,295,15.21,0.653826,1988793.97
52.0,-4.0,283.67,1024,92,282.43,0.06,97,9.75,297,16.81,0.8105109,2684758.92
52.0,-3.5,282.81,1024,89,281.09,0.04,100,9.61,294,17.21,0.70196855,2881009.99
52.0,-3.0,284.42,1023,81,281.28,0.0,99,10.31,299,18.41,0.38784772,3526659.40
