,lat,lon,temp,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,wind_gust,probability
0,53.3544,-4.4656,283.1,1023.0,97.0,282.65,0.0,75.0,6.17,270.0,16.3,1
0,51.7029,-2.2633,284.64,1023.0,79.0,281.13,0.0,88.0,8.31,295.0,15.1,1
0,54.7638,-1.8228,281.7,1014.0,73.0,277.14,0.0,99.0,13.06,298.0,24.43,1
0,55.0865,-1.989,282.03,1013.0,62.0,275.15,0.0,20.0,10.8,280.0,16.3,1
0,55.6984,-2.097,282.65,1012.0,65.0,276.41,0.0,100.0,12.66,291.0,21.83,1
0,54.8273,-1.4272,282.63,1008.0,69.0,277.23,0.0,99.0,3.58,272.0,8.05,1
0,54.4629,-1.9352,280.56,1015.0,78.0,276.98,0.0,100.0,12.46,288.0,24.36,1
0,55.6057,-2.2031,281.69,1012.0,63.0,275.06,0.0,100.0,11.51,291.0,21.92,1
0,54.2467,-3.0972,281.76,1018.0,82.0,278.87,0.0,98.0,11.14,295.0,20.53,1
0,54.34,-2.6044,281.11,1018.0,80.0,277.88,0.0,99.0,10.32,290.0,19.57,1
0,54.4278,-2.6628,280.23,1017.0,80.0,277.02,0.0,98.0,10.55,294.0,20.15,1
0,53.7015,-2.1681,281.11,1018.0,86.0,278.92,0.0,93.0,5.36,44.0,11.62,1
0,54.8706,-3.072,282.78,1017.0,76.0,278.76,0.0,99.0,9.31,285.0,17.97,1
0,54.2049,-3.1467,281.62,1018.0,83.0,278.9,0.0,96.0,11.62,295.0,20.36,1
0,54.7231,-3.2746,281.51,1018.0,80.0,278.27,0.0,100.0,8.7,282.0,16.43,1
0,53.7528,-2.1607,281.59,1018.0,86.0,279.39,0.0,95.0,5.36,44.0,11.62,1
0,54.2301,-3.1413,280.95,1018.0,83.0,278.25,0.0,97.0,11.57,295.0,20.55,1
0,54.6741,-3.543,282.59,1018.0,88.0,280.71,0.0,97.0,10.14,291.0,15.76,1
0,54.6596,-3.5564,282.56,1018.0,88.0,280.68,0.0,96.0,10.39,293.0,16.18,1
0,54.204,-3.3245,282.8,1019.0,84.0,280.23,0.0,88.0,12.55,297.0,20.24,1
0,51.1403,-2.1782,282.99,1024.0,94.0,282.07,0.05,100.0,1.79,256.0,4.02,1
0,51.6561,-4.994,283.67,1026.0,88.0,281.77,0.08,99.0,10.15,292.0,16.48,1
0,51.9971,-4.4413,282.73,1025.0,89.0,281.01,0.08,91.0,8.21,296.0,15.45,1
0,51.6388,-3.5707,281.09,1024.0,85.0,278.73,0.06,99.0,9.11,297.0,16.17,1
0,52.0152,-3.3813,283.46,1023.0,88.0,281.56,0.0,100.0,10.01,296.0,17.77,1
0,51.639,-3.5577,281.58,1024.0,85.0,279.21,0.06,99.0,9.09,297.0,16.19,1
0,51.7569,-4.5297,283.2,1025.0,82.0,280.27,0.08,90.0,10.8,290.0,16.3,1
0,51.6644,-5.0192,283.72,1027.0,88.0,281.82,0.09,99.0,10.14,292.0,16.44,1
0,51.9548,-5.0241,283.6,1026.0,88.0,281.7,0.09,99.0,9.16,286.0,14.98,1
0,51.9552,-4.9018,282.4,1026.0,88.0,280.52,0.08,98.0,9.03,288.0,15.1,1
0,51.723,-3.3043,282.31,1013.0,78.0,278.68,0.04,100.0,4.92,294.0,8.94,1
0,51.9552,-4.9018,282.4,1026.0,88.0,280.52,0.08,98.0,9.03,288.0,15.1,1
0,51.723,-3.3043,282.31,1013.0,78.0,278.68,0.04,100.0,4.92,294.0,8.94,1
0,51.9552,-4.9018,282.4,1026.0,88.0,280.52,0.08,98.0,9.03,288.0,15.1,1
0,50.6564,-4.6753,282.02,1028.0,93.0,280.95,0.09,99.0,8.9,296.0,14.53,1
0,50.6356,-4.6033,281.96,1028.0,46.0,271.24,0.09,100.0,8.75,297.0,14.77,1
0,50.6849,-4.6103,282.17,1028.0,91.0,280.78,0.09,100.0,8.91,295.0,14.64,1
0,53.1363,-3.725,281.67,1022.0,92.0,280.45,0.0,48.0,9.52,281.0,16.61,1
0,51.1229,-3.9133,282.0,1026.0,94.0,281.09,0.09,100.0,9.9,287.0,16.84,1
0,51.1726,-4.1099,282.34,1026.0,94.0,281.43,0.11,100.0,2.68,240.0,7.6,1
0,53.6689,0.0994,284.13,1014.0,70.0,278.88,0.0,98.0,12.25,288.0,18.95,1
0,53.6951,0.0356,284.26,1014.0,69.0,278.79,0.0,98.0,11.94,288.0,18.82,1
0,53.645,-2.0998,282.95,1019.0,85.0,280.55,0.0,94.0,3.13,285.0,8.05,1
0,53.7015,-2.1681,281.11,1018.0,86.0,278.92,0.0,93.0,5.36,44.0,11.62,1
0,53.5368,-1.7223,282.26,1018.0,81.0,279.18,0.0,97.0,9.65,292.0,21.49,1
0,52.2098,-3.1795,283.14,1022.0,85.0,280.74,0.0,90.0,10.55,297.0,18.77,1
0,54.8612,-2.8756,282.75,1016.0,75.0,278.54,0.0,99.0,9.67,287.0,18.85,1
0,55.3324,-4.4172,281.96,1017.0,86.0,279.75,0.0,99.0,10.1,294.0,19.31,1
0,55.8666,-2.2879,281.65,1012.0,67.0,275.88,0.0,99.0,13.83,291.0,21.61,1
0,57.9924,-3.9787,280.15,1010.0,73.0,275.65,0.0,71.0,13.19,298.0,22,1
0,51.7365,-3.6596,283.97,1024.0,80.0,280.66,0.06,98.0,9.07,302.0,16.46,1
0,52.5195,-0.0021,285.2,1016.0,72.0,280.31,0.0,94.0,6.26,298.0,13.86,1
0,53.3985,-2.5188,284.07,1019.0,81.0,280.94,0.0,90.0,5.81,268.0,13.86,1
0,53.5368,-1.6922,282.18,1018.0,81.0,279.1,0.0,97.0,9.66,293.0,21.48,1
0,55.8836,-3.8465,281.5,1015.0,82.0,278.61,0.0,100.0,9.54,286.0,20,1
0,52.0721,-2.1838,285.87,1022.0,73.0,281.16,0.0,40.0,6.69,280.0,16.3,1
0,51.5287,0.1504,287.09,1019.0,63.0,280.17,0.0,40.0,2.24,355.0,5.36,1
0,56.5692,-2.732,281.82,1011.0,60.0,274.5,0.0,76.0,11.41,295.0,21.44,1
0,57.4466,-2.1437,279.15,1005.0,79.0,275.79,0.0,54.0,0.89,289.0,3.13,1
0,55.1456,-4.8569,282.86,1019.0,87.0,280.8,0.0,99.0,10.79,297.0,18.41,1
0,56.0564,-3.4466,282.45,1013.0,64.0,276.0,0.0,20.0,9.77,270.0,16.98,1
0,54.6645,-2.7865,282.14,1017.0,76.0,278.14,0.0,98.0,10.72,295.0,19.98,1
0,53.2466,-0.1797,284.37,1016.0,58.0,276.42,0.0,40.0,10.29,290.0,16.3,1
0,53.5991,-0.6788,284.22,1014.0,76.0,280.16,0.0,80.0,14.75,289.0,17.43,1
0,57.6607,-2.6518,279.41,1008.0,75.0,275.31,0.0,77.0,10.28,269.0,16.99,1
0,57.2352,-2.703,279.33,1006.0,75.0,275.24,0.0,79.0,3.58,306.0,8.94,1
0,57.3863,-2.8546,278.1,1010.0,83.0,275.46,0.0,89.0,11.99,297.0,22.15,1
0,51.8631,1.0042,286.08,1017.0,63.0,279.21,0.0,90.0,11.26,292.0,18.62,1
0,53.677,-1.0841,284.26,1016.0,65.0,277.94,0.0,86.0,10.82,291.0,20.67,1
0,56.5195,-6.8617,282.16,1017.0,76.0,278.16,0.0,40.0,10.29,310.0,16.3,1
0,59.0957,-3.0727,279.09,1006.0,70.0,274.04,0.0,75.0,14.4,300.0,16.3,1
0,57.3426,-4.0217,278.58,1013.0,75.0,274.51,0.0,100.0,10.04,288.0,19.25,1
0,56.1281,-3.6318,282.45,1014.0,70.0,277.27,0.0,100.0,10.09,284.0,20.78,1
0,57.3042,-2.2035,279.34,1009.0,76.0,275.43,0.0,40.0,10.8,310.0,18.01,1
0,57.3424,-2.2501,279.33,1009.0,76.0,275.42,0.0,40.0,10.8,310.0,18.01,1
0,57.3545,-2.245,279.37,1009.0,77.0,275.64,0.0,40.0,10.8,310.0,18.01,1
0,56.668,-3.0431,281.4,1011.0,65.0,275.22,0.0,74.0,12.5,301.0,23.42,1
0,56.054,-3.4443,282.55,1013.0,64.0,276.09,0.0,20.0,9.77,270.0,16.98,1
0,53.151,-1.5285,283.14,1018.0,74.0,278.73,0.0,99.0,9.63,296.0,19.69,1
0,54.246,-3.3234,280.96,1019.0,85.0,278.6,0.0,90.0,12.7,298.0,20.6,1
0,56.0497,-5.4563,281.81,1018.0,83.0,279.09,0.0,100.0,9.53,298.0,16.44,1
0,57.6262,-2.5811,278.92,1009.0,75.0,274.84,0.0,78.0,15.67,296.0,23.66,1
0,54.5873,-7.4497,282.79,1022.0,84.0,280.22,0.1,70.0,6.51,288.0,14.11,1
0,55.3628,-4.1263,279.15,1016.0,84.0,276.66,0.0,92.0,11.6,296.0,21.23,1
0,54.6705,-3.4133,282.4,1018.0,88.0,280.52,0.0,100.0,9.54,288.0,16.03,1
0,54.2575,-3.1357,281.54,1018.0,83.0,278.82,0.0,97.0,11.52,295.0,20.71,1
0,52.8818,-0.2859,284.84,1017.0,68.0,279.14,0.0,84.0,10.36,292.0,19.63,1
0,53.3213,0.2384,284.44,1014.0,66.0,278.33,0.0,91.0,10.8,270.0,15.95,1
0,54.4342,-8.0381,281.14,1023.0,91.0,279.76,0.09,98.0,6.68,284.0,14.02,1
0,54.9391,-7.0426,282.96,1021.0,82.0,280.04,0.1,40.0,7.72,280.0,16.3,1
0,55.042,-6.655,283.69,1021.0,84.0,281.1,0.0,86.0,8.79,293.0,15.91,1
0,54.5444,-6.9266,282.65,1022.0,81.0,279.56,0.0,56.0,6.8,287.0,15.26,1
0,54.3728,-6.0566,283.04,1021.0,78.0,279.39,0.11,49.0,8.99,291.0,17.26,1
0,55.0453,-6.2901,281.82,1021.0,86.0,279.61,0.0,85.0,9.47,292.0,16.94,1
0,57.2869,-2.3757,279.76,1008.0,76.0,275.84,0.0,40.0,4.92,314.0,11.62,1
0,57.1552,-4.8836,280.98,1014.0,81.0,277.93,0.0,100.0,9.37,288.0,17.56,1
0,57.3153,-2.8137,278.61,1010.0,74.0,274.35,0.0,87.0,12.21,299.0,22.62,1
0,55.7671,-3.5285,280.57,1015.0,76.0,276.62,0.0,99.0,10.1,285.0,20.75,1
0,52.6851,-1.6706,285.42,1018.0,70.0,280.11,0.0,80.0,4.47,301.0,10.28,1
0,51.9617,-0.165,285.66,1018.0,66.0,279.49,0.0,94.0,1.79,268.0,6.26,1
0,53.0722,-0.6645,284.69,1017.0,62.0,277.67,0.0,75.0,9.77,290.0,15.43,1
0,55.2304,-1.8301,282.76,1013.0,55.0,274.17,0.0,95.0,10.95,292.0,21.63,1
0,57.572,-1.9111,279.44,1008.0,73.0,274.96,0.0,40.0,16.58,302.0,25.21,1
0,58.827,-3.1231,278.92,1006.0,70.0,273.88,0.0,75.0,14.4,300.0,16.3,1
0,55.195,-1.7581,283.01,1013.0,58.0,275.14,0.0,20.0,10.8,280.0,16.3,1
0,53.9624,-1.9142,282.6,1015.0,78.0,278.96,0.0,20.0,5.81,282.0,10.28,1
0,52.4399,1.5404,285.22,1015.0,74.0,280.73,0.0,82.0,11.77,292.0,20.17,1
0,52.4492,1.5108,285.19,1015.0,74.0,280.7,0.0,82.0,11.61,292.0,20.11,1
0,52.4455,1.5497,285.2,1015.0,74.0,280.71,0.0,82.0,11.82,292.0,20.19,1
0,52.6464,-0.9017,283.96,1018.0,73.0,279.32,0.0,96.0,3.13,278.0,12.96,1
0,52.9758,-1.044,284.82,1018.0,73.0,280.15,0.0,100.0,8.05,300.0,15.65,1
0,52.6962,-1.044,284.77,1018.0,73.0,280.1,0.0,100.0,3.13,278.0,12.96,1
0,55.6394,-4.3176,281.17,1017.0,84.0,278.63,0.0,100.0,9.12,286.0,18.23,1
0,57.4724,-2.241,278.95,1005.0,79.0,275.6,0.0,65.0,0.89,289.0,3.13,1
0,51.6479,-2.5286,285.72,1021.0,80.0,282.37,0.0,95.0,3.13,252.0,5.36,1
0,56.2397,-3.0441,281.44,1009.0,63.0,274.82,0.0,40.0,7.15,90.0,7.15,1
0,55.6844,-4.3573,281.21,1016.0,79.0,277.79,0.0,100.0,8.99,287.0,18.26,1
0,51.1898,-2.9591,283.95,1025.0,89.0,282.21,0.06,97.0,1.34,226.0,3.13,1
0,56.2565,-2.8348,281.61,1011.0,57.0,273.59,0.0,40.0,10.8,290.0,17.49,1
0,52.687,1.6799,284.94,1014.0,73.0,280.26,0.0,89.0,13.51,294.0,21.25,1
0,55.7736,-3.2011,280.92,1014.0,64.0,274.54,0.0,100.0,10.96,287.0,22.22,1
0,52.7862,1.5279,284.84,1014.0,72.0,279.97,0.0,86.0,13.14,292.0,20.98,1
0,55.0815,-4.7815,282.22,1019.0,88.0,280.34,0.0,100.0,10.28,299.0,18.79,1
